Lines,Lon,VehicleNumber,Time,Lat,Brigade,download_id
17,20.929014,1282,2024-01-21 19:52:06,52.298424,013,1
7,21.054699,1298,2024-01-22 15:53:19,52.255978,09,1
7,21.054062,1312,2024-01-19 15:59:54,52.255634,012,1
17,20.928846,1314,2024-01-22 17:36:09,52.298576,013,1
4,20.929523,1318,2024-01-19 17:21:02,52.29822,014,1
25,21.054245,1324,2024-01-22 12:30:08,52.255898,013,1
22,20.973923,1364,2024-01-22 20:42:59,52.23351,013,1
25,21.001081,1388,2024-01-22 20:42:56,52.186333,8,1
28,20.900478,1390,2024-01-22 20:42:54,52.238705,1,1
28,21.046694,1392,2024-01-22 20:42:59,52.25159,5,1
15,20.999935,1394,2024-01-22 07:18:17,52.187542,013,1
15,20.981955,1396,2024-01-22 20:42:56,52.209854,011,1
17,20.988834,1398,2024-01-22 20:42:54,52.1819,015,1
15,21.00104,1402,2024-01-22 18:56:45,52.18658,011,1
15,21.007298,1404,2024-01-22 20:42:59,52.220203,013,1
25,21.053616,1408,2024-01-22 17:50:09,52.25562,013,1
25,20.983328,1410,2024-01-22 20:42:58,52.218796,013,1
25,21.054285,1412,2024-01-22 19:57:56,52.255833,012,1
7,21.055016,1416,2024-01-22 15:30:41,52.25608,012,1
25,21.054434,1428,2024-01-19 16:24:12,52.25574,012,1
7,21.055443,1440,2024-01-22 20:24:24,52.25617,09,1
7,21.053291,1442,2024-01-22 18:54:13,52.255768,012,1
7,21.053715,1448,2024-01-22 10:42:57,52.255783,012,1
25,21.000977,1452,2024-01-22 19:19:46,52.18681,8,1
25,21.033869,1460,2024-01-22 20:42:56,52.282932,011,1
25,21.000319,1464,2024-01-22 20:42:58,52.187767,1,1
17,20.96737,1466,2024-01-22 20:42:59,52.313934,016,1
25,21.007862,1468,2024-01-22 20:42:57,52.208294,6,1
28,20.994652,2008,2024-01-22 20:42:58,52.257942,4,1
22,21.025547,2012,2024-01-22 20:42:55,52.23276,011,1
22,21.084944,2020,2024-01-22 20:42:57,52.24464,012,1
28,20.974348,2022,2024-01-22 20:43:01,52.233555,4,1
24,20.972885,2026,2024-01-22 20:42:58,52.232777,013,1
28,20.972534,2034,2024-01-22 20:42:59,52.23238,1,1
23,20.923155,2040,2024-01-22 20:42:58,52.259724,09,1
23,20.952799,2042,2024-01-22 20:42:58,52.247322,08,1
24,20.97473,2052,2024-01-22 20:42:56,52.233593,014,1
35,20.972466,2054,2024-01-22 20:42:55,52.232693,7,1
35,20.972725,2056,2024-01-22 14:30:56,52.232944,011,1
35,20.957268,2058,2024-01-22 20:42:56,52.2683,3,1
22,20.966566,2060,2024-01-22 20:42:57,52.26573,014,1
24,20.972599,2066,2024-01-22 16:25:48,52.232254,013,1
35,20.98204,2068,2024-01-22 20:42:53,52.20987,012,1
24,21.013105,2070,2024-01-22 20:42:57,52.23012,014,1
23,21.025375,2072,2024-01-22 20:43:00,52.25073,010,1
15,20.99979,2084,2024-01-22 17:39:41,52.187565,012,1
25,21.001038,2102,2024-01-22 20:02:57,52.18624,3,1
23,20.972416,2146,2024-01-22 18:57:13,52.232754,010,1
35,20.972984,2156,2024-01-22 20:42:59,52.23392,011,1
35,20.97279,2164,2024-01-22 20:42:56,52.232788,013,1
20,20.97256,3001,2024-01-22 19:03:35,52.232117,6,1
7,21.055487,3002,2024-01-22 20:42:11,52.25618,8,1
9,21.119265,3003,2024-01-22 20:42:59,52.238155,017,1
9,21.053833,3004,2024-01-22 19:28:55,52.255737,019,1
20,21.015587,3006,2024-01-22 20:42:57,52.246796,5,1
3,21.118814,3007,2024-01-22 20:42:58,52.238167,6,1
28,21.053541,3009,2024-01-22 19:15:44,52.255646,013,1
25,21.04163,3010,2024-01-22 20:42:59,52.249943,10,1
9,21.054878,3011,2024-01-22 20:42:58,52.2558,019,1
3,21.021814,3014,2024-01-22 20:42:46,52.29847,08,1
20,20.899796,3015,2024-01-22 20:42:55,52.263397,8,1
6,21.053713,3016,2024-01-22 17:03:08,52.2559,013,1
6,21.05543,3017,2024-01-22 16:13:37,52.256393,013,1
28,21.054285,3018,2024-01-22 19:46:49,52.255836,014,1
